value,component_label
25.655471,1
4.035485,0
63.348208,1
57.833230,1
3.446924,0
6.810398,0
57.646809,1
45.125469,1
4.818203,0
342.082532,-1
377.890931,-1
113.365613,-1
9.424372,1
2.380351,0
51.372708,1
3.472767,0
71.694638,-1
7.561350,1
1.957924,0
12.289120,1
4.120042,0
1.369160,0
42.226791,1
1.483140,0
2.307964,0
1.986321,0
1.430393,0
0.798484,0
2.830680,0
2.780976,0
4.369371,0
19.687440,1
9.797357,1
83.635156,-1
29.879421,1
1.172208,0
34.290967,1
13.835349,1
0.943816,0
1.044124,0
2.153499,0
2.958054,0
5.048579,0
1.383625,0
1.810047,0
1.537812,0
5.496350,0
3.282313,0
0.761007,0
129.687254,-1
108.492425,-1
2.040930,0
9.470273,1
1.992586,0
51.869739,1
1.059572,0
6.818526,0
1.095369,0
3.140719,0
249.361820,-1
26.152063,1
1.712606,0
76.827150,1
12.779286,0
11.092728,1
1.679731,0
7.465979,0
58.183699,1
2.104726,0
108.346099,1
25.405185,1
3.199349,0
0.886602,0
1.441052,0
20.674613,1
0.978680,0
50.244342,1
27.814662,1
15.809539,1
44.433129,1
13.734029,1
17.110145,1
1.844893,0
1.168830,0
16.699868,-1
0.783461,0
1.421007,0
28.601029,1
30.977143,1
2.090755,0
34.603239,1
2.752755,0
190.254504,-1
4.533345,0
31.271921,1
12.647244,1
1.708689,0
41.342935,1
1.838665,0
80.758026,1
2.235323,0
1.926645,0
5.113539,0
5.545773,0
0.957118,0
345.718138,-1
56.542543,1
46.607221,1
177.643269,1
326.717917,-1
356.289449,-1
2.493151,0
28.947532,1
2.696357,0
2.561248,0
31.047559,1
91.155448,1
1.489562,0
1.782638,0
1.922958,0
165.639933,1
3.518466,0
30.162133,1
57.919999,1
1.950034,0
74.748502,1
3.146253,0
8.008987,0
1.420588,0
10.982526,1
51.479738,1
375.291469,-1
1.563147,0
1.339875,0
23.029983,-1
15.911569,1
1.656491,0
7.439235,1
6.093679,0
4.651157,0
2.021310,0
1.072081,0
6.797536,1
15.879847,1
1.168234,0
4.193052,0
3.482529,0
2.034171,0
13.186436,1
27.663538,1
1.678323,0
3.798804,0
2.094474,0
1.160650,0
1.649689,0
2.050975,0
53.304650,1
1.189340,0
18.051048,1
195.395202,1
2.405726,0
5.543398,0
1.780676,0
9.058067,0
19.295220,1
16.515008,1
2.748514,0
4.555267,0
3.080308,0
147.934875,1
6.847728,1
9.554316,1
3.883950,0
18.223962,1
7.702757,0
3.686932,0
4.256198,0
95.301278,1
40.568493,1
19.726572,1
45.761165,1
3.805589,0
15.612588,1
2.257532,0
8.243077,0
5.955324,0
38.098280,1
2.921271,0
3.027536,0
1.580559,0
34.032704,1
53.710701,1
135.219095,1
2.644940,0
2.810704,0
2.112533,0
8.449554,1
8.325762,1
3.299039,0
2.774443,0
8.017078,1
26.143896,1
16.948682,1
46.822687,1
2.603975,0
3.712138,0
1.163894,0
6.856972,0
1.624151,0
3.060443,0
28.931837,1
32.604956,1
6.894274,0
39.213731,1
22.355603,1
337.065382,-1
9.865349,1
3.034407,0
2.361384,0
79.899349,1
49.830820,1
1.870826,0
57.877148,1
3.241820,0
3.193621,0
208.284786,-1
58.356546,1
19.564806,1
182.280017,-1
65.602918,1
2.310181,0
4.092564,0
32.420242,1
151.555599,1
100.884091,1
7.129645,1
3.923585,0
28.185475,1
48.596583,1
1.709488,0
3.021837,0
2.532378,0
99.999308,1
2.864026,0
4.159531,0
4.743162,0
3.301906,0
176.047566,1
1.499549,0
1.164880,0
89.634802,1
4.030668,0
1.749351,0
39.276837,1
2.793634,0
16.354454,1
38.362009,1
43.253925,1
3.221905,0
4.536017,0
39.807551,1
7.293479,0
21.186382,1
4.224609,0
21.335115,1
51.306212,1
5.914019,1
70.319452,1
3.442133,0
2.631155,0
2.421975,0
62.034050,1
0.946255,0
49.272168,1
5.921251,1
1.460611,0
12.744382,1
70.892130,1
13.215487,1
3.645568,0
2.678849,0
76.042275,1
224.807647,-1
3.652715,0
378.504455,-1
7.222270,0
4.374403,1
33.684888,1
4.011743,0
4.488036,0
9.221157,1
7.130685,0
34.217436,1
1.768102,0
18.628215,1
1.156214,0
2.587544,0
1.908621,0
2.879661,0
74.971395,1
3.463356,0
1.197065,0
1.839722,0
5.493895,0
71.920818,1
6.449937,0
0.654817,-1
107.936980,1
1.689236,0
35.454654,1
2.566041,0
2.661811,0
10.810902,1
126.418009,1
5.415469,0
2.469552,0
29.499847,1
3.169639,0
3.949978,0
7.480390,0
2.605698,0
2.589773,0
17.658393,1
3.040328,0
25.769104,1
108.831077,1
1.997067,0
18.405710,1
39.386395,1
2.975022,0
3.515880,0
22.053864,1
90.879750,1
1.960204,0
12.787530,1
13.555338,1
15.778391,1
14.038528,1
1.059397,0
4.434622,0
5.275404,1
1.937799,0
4.020450,0
2.022227,0
118.975517,1
2.911116,0
1.470332,0
2.233127,0
5.712689,0
58.983043,1
4.580296,0
7.840264,0
1.894540,0
1.434666,0
7.221322,0
2.176311,0
96.773079,1
2.862474,0
