town,total_population,median_household_income,per_capita_income,median_age,median_home_value,pct_owner_occupied,pct_in_labor_force,pct_unemployed,pct_white,pct_poverty,pct_bachelors_plus,margin,winner
Abbot,584,58542,43463.0,48.6,171200,74.33628318584071,54.367201426024955,2.622950819672131,84.58904109589042,16.43835616438356,13.182674199623351,37.31343283582089,1
Acton,2721,78750,40494.0,52.9,334300,96.06003752345215,51.35022850020773,4.53074433656958,85.11576626240353,7.817710263060393,24.23146473779385,17.936694021101992,1
Addison,1045,50524,32680.0,54.2,163500,85.00986193293886,51.165371809101,3.036876355748373,88.70813397129187,22.115384615384613,19.567979669631512,31.989247311827953,1
Albion,2204,62361,33546.0,52.9,230900,78.99686520376176,50.45500505561172,2.80561122244489,97.005444646098,18.385036496350367,23.40909090909091,34.879999999999995,1
Alexander,553,93750,41198.0,52.8,193800,95.27896995708154,66.07929515418502,1.0,86.4376130198915,6.642066420664207,24.235294117647058,50.75075075075075,1
Alfred,3125,82321,41432.0,44.9,342300,82.05761316872427,60.85964244960061,2.0,95.552,9.029421711193777,25.666666666666664,2.4850894632206746,1
Allagash,224,32500,31974.0,63.5,95600,76.05633802816901,42.18009478672986,10.112359550561797,89.28571428571429,25.44642857142857,19.024390243902438,21.05263157894737,1
Alna,818,93125,39879.0,40.7,367400,89.72602739726028,60.204081632653065,0.2824858757062147,88.50855745721272,2.078239608801956,41.308411214953274,-25.581395348837205,0
Alton,819,62955,38154.0,49.1,179500,83.52272727272727,46.264367816091955,0.6211180124223602,94.74969474969474,24.3142144638404,16.16,28.517110266159698,1
Amherst,424,72656,39813.0,50.9,210200,96.8586387434555,56.03448275862068,1.5384615384615385,93.39622641509435,6.132075471698113,31.343283582089555,29.702970297029708,1
Amity,395,65000,28529.0,44.5,155000,91.17647058823529,32.35294117647059,4.040404040404041,93.67088607594937,15.18987341772152,13.937282229965156,60.50955414012739,1
Andover,679,49922,31899.0,51.8,168300,97.65886287625418,54.106280193236714,7.738095238095238,97.05449189985272,16.05301914580265,24.382207578253706,17.93893129770992,1
Anson,2331,52474,45312.0,46.7,117800,79.28363988383349,51.93340494092374,3.722854188210962,93.56499356499357,8.752166377816291,11.69139465875371,40.202966432474625,1
Appleton,1360,53618,37019.0,49.2,235600,82.55639097744361,59.46173254835997,1.8387553041018387,93.82352941176471,9.660766961651918,34.08876298394712,-6.236080178173722,0
Arrowsic,597,99107,77424.0,50.3,584200,95.25691699604744,55.64516129032258,3.6231884057971016,82.91457286432161,16.08040201005025,64.74654377880185,-49.29577464788733,0
Arundel,4418,101597,41630.0,40.9,421300,82.21124150710315,75.6635931824532,3.0280649926144756,94.11498415572657,5.852994555353902,29.393272555800067,2.6148409893992977,1
Ashland,1080,46838,29741.0,53.4,125000,66.07460035523978,50.98241985522234,1.6227180527383367,93.42592592592592,23.605947955390334,13.844393592677346,31.914893617021278,1
Athens,791,50750,27595.0,47.7,153100,94.5859872611465,44.6676970633694,4.1522491349480966,92.92035398230088,23.27698309492848,17.71019677996422,32.08955223880597,1
Auburn,24602,66647,36895.0,41.4,282000,59.137080390829055,64.12538119282107,6.946285179699073,89.70002438826111,13.796469190290273,27.849602656861585,-6.7767230705736665,0
Augusta,19077,47979,35261.0,42.5,201000,53.84534010367079,56.80992356847513,5.657256285840317,88.68270692456886,18.220362015546012,28.86365239472385,-10.098119378577273,0
Avon,359,63125,29628.0,47.1,141700,78.70967741935485,62.989323843416365,7.344632768361582,93.31476323119777,10.174418604651162,15.384615384615385,46.153846153846146,1
Baileyville,1339,60000,33921.0,47.5,112100,83.70253164556962,55.442804428044276,10.8153078202995,90.96340552651232,15.833333333333332,14.717741935483872,35.84905660377359,1
Baldwin,1170,68045,39645.0,50.6,263200,88.9943074003795,60.91515729265967,5.477308294209703,84.78632478632478,6.418039895923677,23.7006237006237,34.22562141491397,1
Bangor,31938,59942,38557.0,41.0,219600,47.184692407928125,60.795247467016544,4.040525148372399,88.33677750641868,17.865554134984187,35.082037996545765,-20.072053525476072,0
Bar Harbor,5244,77180,58427.0,49.2,538400,74.50584913271481,63.031462585034014,4.350758853288364,89.03508771929825,10.101626016260163,68.31366764995084,-51.839080459770116,0
Bath,8815,69390,44655.0,45.4,310900,64.29065743944636,63.65419827360711,5.8146702280665705,93.35224049914918,12.366394667279623,42.46037735849056,-37.67001774098167,0
Beals,498,64063,48216.0,48.0,256700,83.85650224215246,69.6470588235294,3.040540540540541,81.72690763052208,10.843373493975903,37.59398496240601,34.04255319148936,1
Beaver Cove,394,98185,62530.0,67.0,523300,86.25592417061611,29.6875,0.0,100.0,17.512690355329948,46.09375,-2.608695652173914,0
Beddington,38,146500,62332.0,64.8,237500,100.0,39.473684210526315,0.0,97.36842105263158,0.0,15.789473684210526,26.470588235294116,1
Belfast,6986,67679,48291.0,60.6,340900,68.52941176470588,42.93020953638014,0.6149116064565718,90.02290294875466,16.049382716049383,42.90463692038495,-39.99511360860004,0
Belgrade,3351,88338,44318.0,47.3,312200,93.75453885257808,57.175485344499435,7.723035952063914,89.58519844822442,3.0875299760191846,49.11504424778761,9.025594970812755,1
Belmont,876,61250,37465.0,54.5,217500,86.8421052631579,51.08695652173913,6.914893617021277,92.92237442922374,4.272517321016166,21.11888111888112,12.106135986733008,1
Benton,2770,61437,31526.0,42.8,176700,84.22907488986783,59.35314685314685,1.6936671575846833,96.53429602888086,9.96376811594203,21.185567010309278,32.8998699609883,1
Berwick,8175,94771,46266.0,40.7,369100,87.43688743688743,70.05208333333334,2.449158101902471,93.94495412844037,4.157468727005151,35.032279986408426,6.535087719298247,1
